candidate,dataset,family,qualified_comparison,baseline_ndcg_at_10,candidate_ndcg_at_10,delta_ndcg_at_10,diagnostic_measured_delta,generation,profile
g0-baseline,architecture,adaptive,True,0.8560699230171966,0.8560699230171966,0.0,0.0,0,baseline
g0-baseline,architecture,classical,True,0.9257807641624444,0.9257807641624444,0.0,0.0,0,baseline
g0-baseline,architecture,embeddings,True,0.7237714735653961,0.7237714735653961,0.0,0.0,0,baseline
g0-baseline,architecture,ensemble,True,0.8500964545549008,0.8500964545549008,0.0,0.0,0,baseline
g0-baseline,architecture,entity-graph,True,0.8350413379424438,0.8350413379424438,0.0,0.0,0,baseline
g0-baseline,architecture,graphify,True,0.5775650846510725,0.5775650846510725,0.0,0.0,0,baseline
g0-baseline,architecture,legacy,True,0.8154736310803241,0.8154736310803241,0.0,0.0,0,baseline
g0-baseline,architecture,turso,True,0.5840043018567261,0.5840043018567261,0.0,0.0,0,baseline
g0-baseline,astro,adaptive,True,0.8333545047679802,0.8333545047679802,0.0,0.0,0,baseline
g0-baseline,astro,classical,True,0.8333545047679802,0.8333545047679802,0.0,0.0,0,baseline
g0-baseline,astro,embeddings,True,0.7851983317054789,0.7851983317054789,0.0,0.0,0,baseline
g0-baseline,astro,ensemble,True,0.8262231573917006,0.8262231573917006,0.0,0.0,0,baseline
g0-baseline,astro,entity-graph,True,0.6947023065501792,0.6947023065501792,0.0,0.0,0,baseline
g0-baseline,astro,graphify,True,0.5779156769160976,0.5779156769160976,0.0,0.0,0,baseline
g0-baseline,astro,legacy,True,0.6051893734409577,0.6051893734409577,0.0,0.0,0,baseline
g0-baseline,astro,turso,True,0.47813551023378115,0.47813551023378115,0.0,0.0,0,baseline
g0-baseline,data-science,adaptive,True,0.9178174181007902,0.9178174181007902,0.0,0.0,0,baseline
g0-baseline,data-science,classical,True,0.8053872497363544,0.8053872497363544,0.0,0.0,0,baseline
g0-baseline,data-science,embeddings,True,0.60043749109768,0.60043749109768,0.0,0.0,0,baseline
g0-baseline,data-science,ensemble,True,0.9278098590730673,0.9278098590730673,0.0,0.0,0,baseline
g0-baseline,data-science,entity-graph,True,0.8579062471314278,0.8579062471314278,0.0,0.0,0,baseline
g0-baseline,data-science,graphify,True,0.5440998456059355,0.5440998456059355,0.0,0.0,0,baseline
g0-baseline,data-science,legacy,True,0.8321588233274824,0.8321588233274824,0.0,0.0,0,baseline
g0-baseline,data-science,turso,True,0.4016212910774567,0.4016212910774567,0.0,0.0,0,baseline
g0-baseline,enterprise,adaptive,True,0.5033603261131847,0.5033603261131847,0.0,0.0,0,baseline
g0-baseline,enterprise,classical,True,0.43423767296046306,0.43423767296046306,0.0,0.0,0,baseline
g0-baseline,enterprise,embeddings,True,0.516406878690786,0.516406878690786,0.0,0.0,0,baseline
g0-baseline,enterprise,ensemble,True,0.5534950398893288,0.5534950398893288,0.0,0.0,0,baseline
g0-baseline,enterprise,entity-graph,True,0.4673466879301481,0.4673466879301481,0.0,0.0,0,baseline
g0-baseline,enterprise,graphify,True,0.13626228624863054,0.13626228624863054,0.0,0.0,0,baseline
g0-baseline,enterprise,legacy,True,0.5749695375722894,0.5749695375722894,0.0,0.0,0,baseline
g0-baseline,enterprise,turso,True,0.40319114502840775,0.40319114502840775,0.0,0.0,0,baseline
g0-neural-record,architecture,adaptive,True,0.8560699230171966,0.8560699230171966,0.0,0.0,0,neural-record
g0-neural-record,architecture,classical,True,0.9257807641624444,0.9257807641624444,0.0,0.0,0,neural-record
g0-neural-record,architecture,embeddings,True,0.7237714735653961,0.7708433851860573,0.047071911620661266,0.047071911620661266,0,neural-record
g0-neural-record,architecture,ensemble,True,0.8500964545549008,0.8403672877146825,-0.009729166840218295,-0.009729166840218295,0,neural-record
g0-neural-record,architecture,entity-graph,True,0.8350413379424438,0.8350413379424438,0.0,0.0,0,neural-record
g0-neural-record,architecture,graphify,True,0.5775650846510725,0.5775650846510725,0.0,0.0,0,neural-record
g0-neural-record,architecture,legacy,True,0.8154736310803241,0.8154736310803241,0.0,0.0,0,neural-record
g0-neural-record,architecture,turso,True,0.5840043018567261,0.5840043018567261,0.0,0.0,0,neural-record
g0-neural-record,astro,adaptive,True,0.8333545047679802,0.8333545047679802,0.0,0.0,0,neural-record
g0-neural-record,astro,classical,True,0.8333545047679802,0.8333545047679802,0.0,0.0,0,neural-record
g0-neural-record,astro,embeddings,True,0.7851983317054789,0.7434446547499104,-0.04175367695556853,-0.04175367695556853,0,neural-record
g0-neural-record,astro,ensemble,True,0.8262231573917006,0.8245515371800917,-0.0016716202116089374,-0.0016716202116089374,0,neural-record
g0-neural-record,astro,entity-graph,True,0.6947023065501792,0.6947023065501792,0.0,0.0,0,neural-record
g0-neural-record,astro,graphify,True,0.5779156769160976,0.5779156769160976,0.0,0.0,0,neural-record
g0-neural-record,astro,legacy,True,0.6051893734409577,0.6051893734409577,0.0,0.0,0,neural-record
g0-neural-record,astro,turso,True,0.47813551023378115,0.47813551023378115,0.0,0.0,0,neural-record
g0-neural-record,data-science,adaptive,True,0.9178174181007902,0.9178174181007902,0.0,0.0,0,neural-record
g0-neural-record,data-science,classical,True,0.8053872497363544,0.8053872497363544,0.0,0.0,0,neural-record
g0-neural-record,data-science,embeddings,True,0.60043749109768,0.8789004393851517,0.27846294828747176,0.27846294828747176,0,neural-record
g0-neural-record,data-science,ensemble,True,0.9278098590730673,0.9286505509911679,0.0008406919181005446,0.0008406919181005446,0,neural-record
g0-neural-record,data-science,entity-graph,True,0.8579062471314278,0.8579062471314278,0.0,0.0,0,neural-record
g0-neural-record,data-science,graphify,True,0.5440998456059355,0.5440998456059355,0.0,0.0,0,neural-record
g0-neural-record,data-science,legacy,True,0.8321588233274824,0.8321588233274824,0.0,0.0,0,neural-record
g0-neural-record,data-science,turso,True,0.4016212910774567,0.4016212910774567,0.0,0.0,0,neural-record
g0-neural-record,enterprise,adaptive,True,0.5033603261131847,0.5033603261131847,0.0,0.0,0,neural-record
g0-neural-record,enterprise,classical,True,0.43423767296046306,0.43423767296046306,0.0,0.0,0,neural-record
g0-neural-record,enterprise,embeddings,True,0.516406878690786,0.6319043854152289,0.11549750672444281,0.11549750672444281,0,neural-record
g0-neural-record,enterprise,ensemble,True,0.5534950398893288,0.5560667237718679,0.002571683882539144,0.002571683882539144,0,neural-record
g0-neural-record,enterprise,entity-graph,True,0.4673466879301481,0.4673466879301481,0.0,0.0,0,neural-record
g0-neural-record,enterprise,graphify,True,0.13626228624863054,0.13626228624863054,0.0,0.0,0,neural-record
g0-neural-record,enterprise,legacy,True,0.5749695375722894,0.5749695375722894,0.0,0.0,0,neural-record
g0-neural-record,enterprise,turso,True,0.40319114502840775,0.40319114502840775,0.0,0.0,0,neural-record
g0-quarter-expansion,architecture,adaptive,True,0.8560699230171966,0.8518232889631128,-0.004246634054083875,-0.004246634054083875,0,quarter-expansion
